id,origen,destino,distancia,tiempo_estimado,costo,velocidad_promedio,congestion,disponible,incidentes,tipo_via,nombre_via,carriles,sentido_unico,peaje,restricciones,geometria
583975820,253761879,9644335932,17.191567965042726,0.020629881558051268,0.0,50.0,baja,True,0,secundaria,Avenida Calle 85,3.0,True,False,[],
89615978,253761882,253762016,101.02594385057662,0.12123113262069196,0.0,30.0,baja,True,0,terciaria,Carrera 14,2.0,True,False,[],"[[-74.0572856, 4.6644634], [-74.0576967, 4.6637569], [-74.0577435, 4.6636778]]"
856959932,253761969,7989874686,12.253162422722788,0.014703794907267347,0.0,45.0,baja,True,0,terciaria,Calle 77,1.0,True,False,[],"[[-74.052285, 4.6594405], [-74.0522724, 4.6594017], [-74.0522328, 4.6593446]]"
916471064,253761969,3197009590,12.641424141195102,0.015169708969434122,0.0,45.0,baja,True,0,terciaria,Calle 77,2.0,True,False,[],"[[-74.052285, 4.6594405], [-74.0522387, 4.6594367], [-74.052182, 4.6594]]"
"[1074517252, 1074517255]",253761969,254347517,100.27898918964605,0.12033478702757527,0.0,50.0,baja,True,0,primaria,Avenida Carrera 7,2.0,True,False,[],"[[-74.052285, 4.6594405], [-74.0523559, 4.6593703], [-74.0524885, 4.6592389], [-74.0526872, 4.6590294], [-74.052798, 4.6589085], [-74.0529088, 4.6587875]]"
89616006,253761997,267890885,47.04719539658914,0.056456634475906965,0.0,30.0,baja,True,0,residencial,Calle 78,2.0,True,False,[],
89616107,253761997,253846793,102.19392796238554,0.12263271355486266,0.0,30.0,baja,True,0,residencial,Carrera 13,2.0,True,False,[],
89615978#1,253762016,7989948688,21.969328382530286,0.026363194059036345,0.0,30.0,baja,True,0,terciaria,Carrera 14,2.0,True,False,[],
89615874,253762045,253762297,106.74328499640161,0.12809194199568194,0.0,30.0,baja,True,0,residencial,Carrera 12,2.0,False,False,[],
89616006#1,253762045,254530322,82.60516753563918,0.09912620104276701,0.0,30.0,baja,True,0,residencial,Calle 78,2.0,True,False,[],
23430450,253762048,267890888,229.8623973084961,0.2758348767701953,0.0,30.0,baja,True,0,residencial,Calle 79,3.0,True,False,[],"[[-74.0543726, 4.663569], [-74.0543309, 4.6635393], [-74.0527207, 4.6623913], [-74.0526857, 4.6623663]]"
89616120,253762048,253762297,100.46503438421654,0.12055804126105985,0.0,30.0,baja,True,0,residencial,Calle 79,2.0,False,False,[],"[[-74.0543726, 4.663569], [-74.0544365, 4.6636151], [-74.05511, 4.6640945]]"
856959920,253762048,13805375164,110.691490557192,0.13282978866863038,0.0,30.0,baja,True,0,secundaria,Avenida Carrera 11,3.0,True,False,[],"[[-74.0543726, 4.663569], [-74.0545677, 4.6632904], [-74.0549097, 4.6628019], [-74.0549312, 4.6627711], [-74.0549441, 4.6627526]]"
89874714,253762071,312656480,80.03386696729065,0.09604064036074877,0.0,30.0,baja,True,0,residencial,Calle 67,2.0,False,False,[],
89874714#1,253762071,312656101,68.19874758707051,0.0818384971044846,0.0,30.0,baja,True,0,residencial,Calle 67,2.0,False,False,[],
89875274,253762071,926763115,81.16325678054623,0.09739590813665548,0.0,30.0,baja,True,0,residencial,Carrera 22,2.0,True,False,[],
89874714#2,253762143,312656101,83.45736088061457,0.10014883305673748,0.0,30.0,baja,True,0,residencial,Calle 67,2.0,False,False,[],
89874714#3,253762143,283253380,102.13597022928295,0.12256316427513954,0.0,30.0,baja,True,0,residencial,Calle 67,2.0,False,False,[],
89890128,253762143,13790717175,82.86354196124293,0.09943625035349152,0.0,30.0,baja,True,0,terciaria,Carrera 20,2.0,True,False,[],"[[-74.0676869, 4.6567662], [-74.0673472, 4.6572988], [-74.0673305, 4.6573251], [-74.0672858, 4.6573951]]"
"[1014920969, 1014920970]",253762149,2807693387,77.4667098656565,0.09296005183878779,0.0,30.0,baja,True,0,residencial,Calle 77,,True,False,[],"[[-74.0581496, 4.6631196], [-74.0581153, 4.6630976], [-74.057856, 4.6629313], [-74.0575618, 4.6627426]]"
1014920973,253762149,253762318,82.60563965341673,0.09912676758410008,0.0,30.0,baja,True,0,terciaria,Carrera 14,2.0,True,False,[],"[[-74.0581496, 4.6631196], [-74.0585436, 4.6625634], [-74.0585796, 4.6625128]]"
